# SYNTHETIC DATA — generated by training/generate_data.py. These customers, portfolios, products and interactions are fabricated. Not real banking data.
user_id,monthly_income,monthly_expenses,existing_emi,credit_score,employment_type,employment_years,age,dependents,purpose,required_amount,preferred_tenure_months,risk_appetite,SYNTHETIC
syn-0000,488200.0,261900.0,65600.0,807,SALARIED,4.8,57,1,HOME,18579000.0,180,AGGRESSIVE,TRUE
syn-0001,127000.0,73500.0,16500.0,900,SELF_EMPLOYED,9.6,53,3,MEDICAL,684000.0,60,CONSERVATIVE,TRUE
syn-0002,25700.0,18500.0,4300.0,664,RETIRED,9.7,61,3,MEDICAL,73000.0,48,MODERATE,TRUE
syn-0003,51400.0,33800.0,6700.0,695,SELF_EMPLOYED,6.9,50,2,VEHICLE,597000.0,48,MODERATE,TRUE
syn-0004,288700.0,100800.0,46400.0,767,SELF_EMPLOYED,6.7,61,0,HOME,13942000.0,240,AGGRESSIVE,TRUE
syn-0005,126700.0,84200.0,14900.0,711,CONTRACT,3.3,51,0,PERSONAL,375000.0,48,CONSERVATIVE,TRUE
syn-0006,514000.0,181800.0,200.0,900,RETIRED,3.7,56,1,BUSINESS,11704000.0,60,MODERATE,TRUE
syn-0007,124100.0,44600.0,300.0,707,RETIRED,5.9,48,2,VEHICLE,1561000.0,24,MODERATE,TRUE
syn-0008,145300.0,74500.0,9300.0,807,RETIRED,7.1,28,2,HOME,7633000.0,120,CONSERVATIVE,TRUE
syn-0009,201400.0,133200.0,28200.0,646,CONTRACT,12.2,56,0,MEDICAL,1078000.0,48,MODERATE,TRUE
syn-0010,127200.0,67100.0,2900.0,670,RETIRED,2.0,42,2,VEHICLE,1027000.0,36,MODERATE,TRUE
syn-0011,33200.0,12800.0,400.0,759,RETIRED,11.1,43,0,PERSONAL,175000.0,12,AGGRESSIVE,TRUE
syn-0012,69200.0,28000.0,1000.0,586,RETIRED,12.7,61,2,EDUCATION,1069000.0,120,AGGRESSIVE,TRUE
syn-0013,83800.0,41000.0,14700.0,704,RETIRED,1.3,53,0,VEHICLE,305000.0,84,CONSERVATIVE,TRUE
