# SYNTHETIC DATA — generated by training/generate_data.py. These customers, portfolios, products and interactions are fabricated. Not real banking data.
user_id,record_type,days_ago,product_id,purpose,amount,tenure,strategy,suitability,status,event_type,SYNTHETIC
syn-0000,RECOMMENDATION,511.8,HL-102,BUSINESS,1880300.0,84,BORROW_60_LIQUIDATE_40,0.621,RECOMMENDED,,TRUE
syn-0000,EVENT,511.4275813386361,HL-102,,,,,,,VIEWED,TRUE
syn-0000,RECOMMENDATION,389.1,PL-402,BUSINESS,1776800.0,12,BORROW_80_LIQUIDATE_20,0.367,RECOMMENDED,,TRUE
syn-0000,EVENT,388.9116723281842,PL-402,,,,,,,DECLINED,TRUE
syn-0000,RECOMMENDATION,37.1,ML-501,HOME,723500.0,48,LIQUIDATE_100,0.83,RECOMMENDED,,TRUE
syn-0000,EVENT,36.104106355176434,ML-501,,,,,,,VIEWED,TRUE
syn-0002,RECOMMENDATION,315.2,BL-602,VEHICLE,1143800.0,48,BORROW_20_LIQUIDATE_80,0.812,RECOMMENDED,,TRUE
syn-0002,EVENT,314.8437341056834,BL-602,,,,,,,ACCEPTED,TRUE
syn-0002,RECOMMENDATION,415.8,HL-102,BUSINESS,203300.0,12,BORROW_40_LIQUIDATE_60,0.419,RECOMMENDED,,TRUE
syn-0002,EVENT,415.20598064386746,HL-102,,,,,,,VIEWED,TRUE
syn-0002,RECOMMENDATION,511.0,HL-101,EDUCATION,3950800.0,48,BORROW_60_LIQUIDATE_40,0.341,RECOMMENDED,,TRUE
syn-0002,EVENT,510.9845544554871,HL-101,,,,,,,ACCEPTED,TRUE
syn-0004,RECOMMENDATION,29.1,BL-602,MEDICAL,3197900.0,36,BORROW_60_LIQUIDATE_40,0.806,RECOMMENDED,,TRUE
syn-0004,EVENT,28.877738868745777,BL-602,,,,,,,ACCEPTED,TRUE
syn-0008,RECOMMENDATION,486.3,VL-201,MEDICAL,4787500.0,24,BORROW_20_LIQUIDATE_80,0.942,RECOMMENDED,,TRUE
syn-0008,EVENT,485.36361365122167,VL-201,,,,,,,ACCEPTED,TRUE
syn-0008,RECOMMENDATION,128.4,HL-101,PERSONAL,1848700.0,48,BORROW_60_LIQUIDATE_40,0.887,RECOMMENDED,,TRUE
syn-0008,EVENT,128.04804604115478,HL-101,,,,,,,VIEWED,TRUE
