# SYNTHETIC DATA — generated by training/generate_data.py. These customers, portfolios, products and interactions are fabricated. Not real banking data.
user_id,archetype,asset_type,current_value,invested_value,SYNTHETIC
syn-0000,balanced,CASH,32925.0,22839.0,TRUE
syn-0000,balanced,FIXED_DEPOSIT,54875.0,74477.97,TRUE
syn-0000,balanced,MUTUAL_FUNDS,65850.0,75182.13,TRUE
syn-0000,balanced,STOCKS,43900.0,47208.89,TRUE
syn-0000,balanced,BONDS,21950.0,21066.69,TRUE
syn-0005,conservative_income,FIXED_DEPOSIT,240525.0,192821.93,TRUE
syn-0005,conservative_income,BONDS,213800.0,210525.15,TRUE
syn-0005,conservative_income,CASH,80175.0,78208.61,TRUE
syn-0006,volatile_heavy,CASH,130200.0,147133.68,TRUE
syn-0006,volatile_heavy,STOCKS,1432200.0,1186679.32,TRUE
syn-0006,volatile_heavy,CRYPTO,1041600.0,1029329.56,TRUE
syn-0007,volatile_heavy,CASH,686430.0,880126.94,TRUE
syn-0007,volatile_heavy,STOCKS,7550730.0,6610040.69,TRUE
syn-0007,volatile_heavy,CRYPTO,5491440.0,3870969.06,TRUE
syn-0008,equity_tilted,CASH,5024.0,7644.94,TRUE
syn-0008,equity_tilted,MUTUAL_FUNDS,20096.0,22253.21,TRUE
syn-0008,equity_tilted,STOCKS,31400.0,24312.88,TRUE
syn-0008,equity_tilted,BONDS,6280.0,8018.15,TRUE
syn-0009,cash_heavy,CASH,405020.0,374820.1,TRUE
syn-0009,cash_heavy,FIXED_DEPOSIT,257740.0,293560.23,TRUE
syn-0009,cash_heavy,MUTUAL_FUNDS,73640.0,55504.2,TRUE
syn-0011,volatile_heavy,CASH,380905.0,515442.41,TRUE
syn-0011,volatile_heavy,STOCKS,4189955.0,3048910.22,TRUE
syn-0011,volatile_heavy,CRYPTO,3047240.0,4004291.62,TRUE
syn-0012,cash_heavy,CASH,5107355.0,5669165.46,TRUE
syn-0012,cash_heavy,FIXED_DEPOSIT,3250135.0,2270128.08,TRUE
syn-0012,cash_heavy,MUTUAL_FUNDS,928610.0,966807.8,TRUE
syn-0013,equity_tilted,CASH,39824.0,31035.36,TRUE
syn-0013,equity_tilted,MUTUAL_FUNDS,159296.0,136865.85,TRUE
syn-0013,equity_tilted,STOCKS,248900.0,196912.95,TRUE
syn-0013,equity_tilted,BONDS,49780.0,76439.52,TRUE
syn-0014,equity_tilted,CASH,16528.0,11797.25,TRUE
syn-0014,equity_tilted,MUTUAL_FUNDS,66112.0,80407.3,TRUE
syn-0014,equity_tilted,STOCKS,103300.0,108703.79,TRUE
syn-0014,equity_tilted,BONDS,20660.0,28622.58,TRUE
syn-0015,conservative_income,FIXED_DEPOSIT,194985.0,293420.02,TRUE
syn-0015,conservative_income,BONDS,173320.0,170573.06,TRUE
syn-0015,conservative_income,CASH,64995.0,56531.56,TRUE
