# SYNTHETIC. Group sizes in dataset row order, for XGBRanker.
group_id,user_id,split,size
0,syn-0001,train,16
1,syn-0005,train,38
2,syn-0007,test,46
3,syn-0009,train,33
4,syn-0010,train,8
5,syn-0011,train,54
6,syn-0014,train,31
7,syn-0017,test,21
8,syn-0023,train,28
9,syn-0025,train,10
10,syn-0027,train,93
11,syn-0029,train,24
12,syn-0034,train,94
13,syn-0037,test,10
14,syn-0038,test,45
15,syn-0040,train,11
16,syn-0041,train,8
17,syn-0046,train,20
18,syn-0047,train,19
19,syn-0048,train,28
20,syn-0053,train,48
21,syn-0054,train,17
22,syn-0056,test,3
23,syn-0060,train,29
24,syn-0061,train,26
25,syn-0063,train,20
26,syn-0066,train,35
27,syn-0073,train,15
28,syn-0075,train,55
29,syn-0077,train,10
30,syn-0078,test,30
31,syn-0079,train,16
32,syn-0080,train,27
33,syn-0081,test,18
34,syn-0086,test,84
35,syn-0088,train,4
36,syn-0091,train,58
37,syn-0094,train,29
38,syn-0095,train,7
39,syn-0099,train,26
40,syn-0101,train,28
41,syn-0104,train,17
42,syn-0106,train,12
43,syn-0107,train,8
44,syn-0108,train,17
45,syn-0111,test,15
46,syn-0117,train,2
47,syn-0118,train,58
48,syn-0119,train,45
49,syn-0120,train,55
50,syn-0122,test,63
51,syn-0124,train,18
52,syn-0125,train,24
53,syn-0129,train,33
54,syn-0131,train,13
55,syn-0133,train,41
56,syn-0137,train,7
57,syn-0138,test,26
58,syn-0139,train,111
59,syn-0140,train,13
60,syn-0141,train,12
61,syn-0143,train,76
62,syn-0144,train,24
63,syn-0149,test,44
64,syn-0153,train,25
65,syn-0155,test,2
66,syn-0157,train,26
67,syn-0158,train,6
68,syn-0163,test,30
69,syn-0165,test,64
70,syn-0168,test,59
71,syn-0170,test,27
72,syn-0171,train,17
73,syn-0173,train,3
74,syn-0176,train,109
75,syn-0177,train,22
76,syn-0183,train,38
77,syn-0184,train,63
78,syn-0186,test,49
79,syn-0187,train,25
80,syn-0188,train,16
81,syn-0189,train,103
82,syn-0191,train,106
83,syn-0193,train,43
84,syn-0194,train,49
85,syn-0197,train,43
86,syn-0198,train,33
87,syn-0200,train,121
88,syn-0201,train,12
89,syn-0202,train,39
90,syn-0204,train,29
91,syn-0207,train,30
92,syn-0209,test,21
93,syn-0210,test,13
94,syn-0211,train,24
95,syn-0214,train,36
96,syn-0222,train,8
97,syn-0224,train,29
98,syn-0225,train,42
99,syn-0227,train,21
100,syn-0228,train,37
101,syn-0232,test,17
102,syn-0233,train,96
103,syn-0235,train,113
104,syn-0238,test,119
105,syn-0240,train,9
106,syn-0241,train,92
107,syn-0242,train,9
108,syn-0243,train,57
109,syn-0244,train,123
110,syn-0248,train,28
111,syn-0249,train,8
112,syn-0253,train,29
113,syn-0256,train,18
114,syn-0260,train,19
115,syn-0261,train,18
116,syn-0262,train,13
117,syn-0263,train,37
118,syn-0264,train,28
119,syn-0267,train,13
120,syn-0270,train,12
121,syn-0275,test,32
122,syn-0278,train,37
123,syn-0280,train,88
124,syn-0282,train,19
125,syn-0284,test,23
126,syn-0287,train,9
127,syn-0289,train,99
128,syn-0291,test,21
129,syn-0292,train,26
130,syn-0293,train,81
131,syn-0298,train,7
132,syn-0301,test,14
133,syn-0303,train,48
134,syn-0304,train,91
135,syn-0306,train,24
136,syn-0308,test,49
137,syn-0309,train,8
138,syn-0312,train,5
139,syn-0314,train,45
140,syn-0315,train,69
141,syn-0316,train,15
142,syn-0319,test,40
143,syn-0321,train,15
144,syn-0327,train,107
145,syn-0328,train,11
146,syn-0330,train,11
147,syn-0331,train,58
148,syn-0332,train,14
149,syn-0333,test,24
150,syn-0344,train,25
151,syn-0345,train,6
152,syn-0347,train,57
153,syn-0353,train,2
154,syn-0354,train,4
155,syn-0355,test,9
156,syn-0356,train,29
157,syn-0359,test,14
158,syn-0361,train,103
159,syn-0364,train,36
160,syn-0372,train,17
161,syn-0379,train,21
162,syn-0380,test,39
163,syn-0381,train,15
164,syn-0383,test,22
165,syn-0384,train,27
166,syn-0390,train,3
167,syn-0391,train,2
168,syn-0393,test,15
169,syn-0396,train,38
