# SYNTHETIC REPAYMENT OUTCOMES — drawn by training/generate_risk_outcomes.py from a documented latent-risk model. Nobody defaulted; nobody exists.
user_id,defaulted,latent_default_probability,latent_shock,SYNTHETIC
syn-0000,0,0.029751,-0.677049,TRUE
syn-0001,0,0.009226,-0.414211,TRUE
syn-0002,0,0.29459,0.377188,TRUE
syn-0003,0,0.14573,-0.283297,TRUE
syn-0004,0,0.076735,-0.671556,TRUE
syn-0005,1,0.619524,2.153585,TRUE
syn-0006,0,0.012726,0.105393,TRUE
syn-0007,0,0.024187,0.026232,TRUE
syn-0008,0,0.098753,-0.229704,TRUE
syn-0009,0,0.0741,-0.55422,TRUE
syn-0010,0,0.499,1.306691,TRUE
syn-0011,0,0.000574,-1.909674,TRUE
syn-0012,0,0.024112,-1.111288,TRUE
syn-0013,0,0.167264,0.852595,TRUE
syn-0014,0,0.252071,0.950688,TRUE
syn-0015,1,0.51963,0.93298,TRUE
syn-0016,0,0.005927,-1.227305,TRUE
syn-0017,0,0.142908,1.02902,TRUE
syn-0018,0,0.046741,-0.746865,TRUE
syn-0019,0,0.026076,-0.270624,TRUE
syn-0020,0,0.275664,0.661743,TRUE
syn-0021,0,0.021568,0.290266,TRUE
syn-0022,0,0.078064,1.082318,TRUE
syn-0023,0,0.009078,-1.242663,TRUE
syn-0024,0,0.293985,0.4344,TRUE
syn-0025,0,0.141657,0.101122,TRUE
syn-0026,0,0.08807,0.516992,TRUE
syn-0027,1,0.449794,1.770667,TRUE
syn-0028,0,0.271614,1.016884,TRUE
syn-0029,0,0.345647,1.619174,TRUE
syn-0030,1,0.398377,0.485941,TRUE
syn-0031,0,0.10897,-0.877195,TRUE
syn-0032,0,0.011425,-2.431497,TRUE
syn-0033,0,0.072882,-0.872388,TRUE
syn-0034,0,0.006905,-0.320328,TRUE
syn-0035,0,0.094534,0.299049,TRUE
syn-0036,0,0.013273,-0.503199,TRUE
syn-0037,0,0.022324,-0.657719,TRUE
syn-0038,1,0.65339,2.6314,TRUE
syn-0039,0,0.04861,-1.069911,TRUE
syn-0040,0,0.009531,-1.823684,TRUE
syn-0041,0,0.058843,-0.522906,TRUE
syn-0042,0,0.008244,0.203132,TRUE
syn-0043,0,0.19006,-0.25516,TRUE
syn-0044,0,0.637666,0.491942,TRUE
syn-0045,0,0.013562,-0.136957,TRUE
syn-0046,0,0.008733,-0.361654,TRUE
syn-0047,0,0.138014,1.154226,TRUE
syn-0048,0,0.008571,0.544554,TRUE
syn-0049,0,0.058063,-0.609144,TRUE
syn-0050,0,0.011721,-1.205149,TRUE
syn-0051,0,0.077886,-0.326801,TRUE
syn-0052,0,0.012201,-0.102194,TRUE
syn-0053,0,0.251973,0.812465,TRUE
syn-0054,0,0.013029,0.213337,TRUE
syn-0055,1,0.717618,1.205985,TRUE
syn-0056,0,0.027558,-0.425812,TRUE
syn-0057,0,0.013911,0.141465,TRUE
syn-0058,0,0.150525,0.489284,TRUE
syn-0059,0,0.278325,0.204792,TRUE
syn-0060,1,0.070717,1.293905,TRUE
syn-0061,0,0.011524,-0.707634,TRUE
syn-0062,0,0.076329,0.246737,TRUE
syn-0063,0,0.026574,-0.008154,TRUE
syn-0064,0,0.02986,0.802161,TRUE
syn-0065,1,0.224843,-0.698886,TRUE
syn-0066,0,0.085484,1.104699,TRUE
syn-0067,0,0.071196,-0.71044,TRUE
syn-0068,0,0.167342,0.714604,TRUE
syn-0069,1,0.278215,0.688232,TRUE
syn-0070,0,0.000726,-1.628213,TRUE
syn-0071,0,0.279105,0.120074,TRUE
syn-0072,0,0.050278,-1.733572,TRUE
syn-0073,1,0.071483,-0.165292,TRUE
syn-0074,1,0.40089,0.553335,TRUE
syn-0075,0,0.03641,0.799393,TRUE
syn-0076,0,0.021559,-0.393927,TRUE
syn-0077,0,0.069811,1.241165,TRUE
syn-0078,1,0.274401,1.274217,TRUE
syn-0079,0,0.126774,0.822267,TRUE
syn-0080,0,0.005754,-0.685317,TRUE
syn-0081,0,0.084287,1.582986,TRUE
syn-0082,0,0.553506,1.496179,TRUE
syn-0083,1,0.028823,-0.071387,TRUE
syn-0084,0,0.062454,0.168887,TRUE
syn-0085,0,0.008667,-1.280708,TRUE
syn-0086,0,0.010662,-0.388131,TRUE
syn-0087,0,0.013275,-1.204152,TRUE
syn-0088,0,0.024052,0.049896,TRUE
syn-0089,0,0.436873,-0.884647,TRUE
syn-0090,0,0.209946,-0.513079,TRUE
syn-0091,0,0.035964,1.06549,TRUE
syn-0092,0,0.0752,-0.56093,TRUE
syn-0093,0,0.006493,-0.964387,TRUE
syn-0094,0,0.022708,0.212622,TRUE
syn-0095,0,0.058464,0.214732,TRUE
syn-0096,0,0.020595,-0.629333,TRUE
syn-0097,1,0.803343,0.548526,TRUE
syn-0098,0,0.03473,-0.887244,TRUE
syn-0099,0,0.012695,-0.329864,TRUE
syn-0100,0,0.223196,1.460057,TRUE
syn-0101,0,0.016299,-1.151892,TRUE
